ids,street,locale
060379108091_060379302002,Sand Canyon Road,Santa Clarita
060379108071_060379108091,Oak Springs Canyon Road,Santa Clarita
060379108091_060379108111,Sand Canyon Road,Santa Clarita
060379108091_060379200411,Lost Canyon Road,Santa Clarita
060379108091_060379200431,Sand Canyon Road,Santa Clarita
060371065202_060371065203,Bradley Avenue,Los Angeles
060371064061_060371065202,Glenoaks Boulevard,Los Angeles
060371064062_060371065202,Glenoaks Boulevard,Los Angeles
060371065102_060371065202,Glenoaks Boulevard,Los Angeles
060371065202_060371066481,Polk Street,Los Angeles
060371065202_060371070201,Polk Street,Los Angeles
060371065201_060371065202,Bradley Avenue,Los Angeles
060371065202_060371066042,San Fernando Road Bike Path,Los Angeles
060371065202_060371066044,Roxford Street,Los Angeles
060371065203_060371070201,Bradley Avenue,Los Angeles
060371065201_060371065203,Polk Street,Los Angeles
060371065203_060371070101,Polk Street,Los Angeles
060372181201_060372181202,Venice Boulevard,Los Angeles
060372181201_060372181203,Venice Boulevard,Los Angeles
060372129001_060372181201,Pico Boulevard,Los Angeles
060372181102_060372181201,Venice Boulevard,Los Angeles
060372181101_060372181201,6th Avenue,Los Angeles
060372129002_060372181201,Pico Boulevard,Los Angeles
060372181201_060372213041,Arlington Avenue,Los Angeles
060372181201_060372213021,Arlington Avenue,Los Angeles
060372131002_060372181201,Pico Boulevard,Los Angeles
060372181202_060372181203,Venice Boulevard,Los Angeles
060372181202_060372214022,Arlington Avenue,Los Angeles
060372181202_060372213041,Arlington Avenue,Los Angeles
060372181202_060372213021,Arlington Avenue,Los Angeles
060372181202_060372188001,West Washington Boulevard,Los Angeles
060372181102_060372181203,Venice Boulevard,Los Angeles
060372181101_060372181203,Venice Boulevard,Los Angeles
060372181203_060372188002,6th Avenue,Los Angeles
060372181203_060372188001,6th Avenue,Los Angeles
060375510002_060375510003,Pangborn Avenue,Downey
060375510001_060375510003,Pangborn Avenue,Downey
060375510003_060375510006,Pangborn Avenue,Downey
060375510003_060375510004,Woodruff Avenue,Downey
060375510003_060375513001,Firestone Boulevard,Downey
060375509012_060375510003,Cecilia Street,Downey
060375509013_060375510003,Lakewood Boulevard,Downey
060375510003_060375511022,Firestone Boulevard,Downey
060375510003_060375511021,Firestone Boulevard,Downey
060375510001_060375510002,Pangborn Avenue,Downey
060375510002_060375510006,Florence Avenue,Downey
060375505004_060375510002,Newville Avenue,Downey
060375505004_060375510001,Florence Avenue,Downey
060375503007_060375510001,Firestone Boulevard,Downey
060375503004_060375510001,Firestone Boulevard,Downey
060375504001_060375510001,San Gabriel River Mid Trail,Downey
060375510001_060375511021,Pangborn Avenue,Downey
060376513024_060376703244,Boundary Trail,Redondo Beach
060376513024_060376513045,Vía Los Miradores,Redondo Beach
060376513024_060376513044,Calle Mayor,Redondo Beach
060375510005_060375510006,Chaney Avenue,Downey
060375510004_060375510006,Chaney Avenue,Downey
060375505005_060375510006,Downey & Sanford Bridge Road,Downey
060375505004_060375510006,Florence Avenue,Downey
060375510004_060375510005,Gotham Street,Downey
060375505005_060375510005,Chaney Avenue,Downey
060375505006_060375510005,Florence Avenue,Downey
060375506024_060375510005,Lakewood Boulevard,Downey
060375509023_060375510005,Lakewood Boulevard,Downey
060375509021_060375510005,Lakewood Boulevard,Downey
060375509012_060375510004,Lakewood Boulevard,Downey
060375509013_060375510004,Cecilia Street,Downey
060375509023_060375510004,Gotham Street,Downey
060374828002_060374828003,East Markland Drive,Monterey Park
060374828001_060374828002,East Markland Drive,Monterey Park
060374827011_060374828002,East Riggin Street,Monterey Park
060374828002_060375302031,North Garfield Avenue,Monterey Park
060374828002_060375300052,East Pomona Boulevard,Monterey Park
060374828002_060375302022,North Garfield Avenue,Monterey Park
060374828001_060374828003,East Markland Drive,Monterey Park
060374827011_060374828003,Garfield Avenue South,Monterey Park
060374827021_060374828003,Coral View Street,Monterey Park
060374825223_060374828001,Paramount Boulevard,Montebello
060374826002_060374828001,Potrero Grande Drive,Monterey Park
060374826004_060374828001,Fulton Avenue,Monterey Park
060374827021_060374828001,Keller Street,Monterey Park
060374828001_060375300052,East Markland Drive,Monterey Park
060374828001_060375300051,Westmoreland Drive,Montebello
060374826003_060374828001,Wilcox Avenue,Monterey Park
060374050012_060374050013,Stewart Avenue,Baldwin Park
060374050011_060374050012,North Baldwin Park Boulevard,Baldwin Park
060374050012_060374051012,Olive Street,Baldwin Park
060374049013_060374050012,Olive Street,Baldwin Park
060374046002_060374050012,North Baldwin Park Boulevard,Baldwin Park
060374050013_060374051012,Olive Street,Baldwin Park
060374049011_060374050013,Olive Street,Baldwin Park
060374049012_060374050013,Olive Street,Baldwin Park
060374049013_060374050013,Merced Avenue,Baldwin Park
060374046002_060374050013,San Gabriel River Trail,Irwindale
060374050011_060374051011,Olive Street,Baldwin Park
060374050011_060374051012,North Baldwin Park Boulevard,Baldwin Park
060374050011_060374050022,Olive Street,Baldwin Park
060374046002_060374050011,Bleecker Street,Baldwin Park
060375360001_060375360002,Firestone Boulevard,South Gate
060375357021_060375360002,San Vincente Avenue,South Gate
060375359011_060375360002,Southern Avenue,South Gate
060375359013_060375360002,Southern Avenue,South Gate
060375360002_060375361032,Southern Avenue,South Gate
060375359014_060375360002,Southern Avenue,South Gate
060375359012_060375360002,Southern Avenue,South Gate
060375343012_060375360001,Atlantic Avenue,Cudahy
060375343011_060375360001,Ardine Street,South Gate
060375357021_060375360001,San Vincente Avenue,South Gate
060375345021_060375360001,Santa Ana Street,Huntington Park
060375360001_060375361041,Atlantic Avenue,South Gate
060375357011_060375360001,Santa Ana Street,Huntington Park
060375360001_060375361031,Firestone Boulevard,South Gate
060375360001_060375361032,Firestone Boulevard,South Gate
060372406001_060372406002,Towne Avenue,Los Angeles
060372406001_060372406003,South San Pedro Street,Los Angeles
060372406001_060372406004,Wall Street,Los Angeles
060372400201_060372406001,Avalon Boulevard,Los Angeles
060372400202_060372406001,Avalon Boulevard,Los Angeles
060372405001_060372406001,East 95th Street,Los Angeles
060372406001_060372407004,Avalon Boulevard,Los Angeles
060372402002_060372406001,East 93rd Street,Los Angeles
060372406002_060372406003,East 103rd Street,Los Angeles
060372406002_060372407005,East 104th Street,Los Angeles
060372406002_060372407004,Avalon Boulevard,Los Angeles
060372406002_060372408003,Towne Avenue,Los Angeles
060372406003_060372406004,South San Pedro Street,Los Angeles
060372406003_060372411102,East 104th Street,Los Angeles
060372406003_060372408003,East 104th Street,Los Angeles
060372405001_060372406004,Wall Street,Los Angeles
060372405003_060372406004,Wall Street,Los Angeles
060372405002_060372406004,Wall Street,Los Angeles
060372406004_060372411102,Wall Street,Los Angeles
060372406004_060372408003,East 104th Street,Los Angeles
060375518002_060375518003,Lakewood Boulevard,Downey
060375517001_060375518003,Imperial Highway,Downey
060375512023_060375518003,Imperial Highway,Downey
060375511011_060375518003,Columbia Way,Downey
060375518002_060375518004,Bellflower Boulevard,Downey
060375517001_060375518002,Lakewood Boulevard,Downey
060375518002_060375532007,Columbia Way,Downey
060375518002_060375532006,Ardis Avenue,Downey
060375518002_060375532005,Bellflower Boulevard,Downey
060375511012_060375518002,Bellflower Boulevard,Downey
060375511011_060375518002,Bellflower Boulevard,Downey
060375518002_060375534001,Gardendale Street,Downey
060375518002_060375533001,Gardendale Street,Downey
060371918202_060371918203,Melrose Avenue,Los Angeles
060371918201_060371918203,Cole Avenue,Los Angeles
060371918203_060371923003,Melrose Avenue,Los Angeles
060371918203_060371923001,Melrose Avenue,Los Angeles
060371918102_060371918203,North El Centro Avenue,Los Angeles
060371918103_060371918203,Cole Avenue,Los Angeles
060371918101_060371918203,North El Centro Avenue,Los Angeles
060371918202_060371923001,Melrose Avenue,Los Angeles
060371917101_060371918202,Melrose Avenue,Los Angeles
060371918102_060371918202,North El Centro Avenue,Los Angeles
060371918101_060371918202,North Gower Street,Los Angeles
060371918202_060371924104,Melrose Avenue,Los Angeles
060375518004_060375518005,Dunrobin Avenue,Downey
060375518001_060375518005,Foster Road,Downey
060375518005_060375532003,Foster Road,Downey
060375518005_060375532005,Dunrobin Avenue,Downey
060375518005_060375532004,Foster Road,Downey
060375511013_060375518005,Woodruff Avenue,Downey
060375511012_060375518005,Dunrobin Avenue,Downey
060375511021_060375518005,Imperial Highway,Downey
060375518004_060375532006,Bellflower Boulevard,Downey
060375518004_060375532005,Bellflower Boulevard,Downey
060375511013_060375518004,Dunrobin Avenue,Downey
060375511012_060375518004,Dunrobin Avenue,Downey
060375511011_060375518004,Bellflower Boulevard,Downey
060372766031_060372766032,Falmouth Avenue,Los Angeles
060372766032_060372781021,Pershing Drive,Los Angeles
060372766032_060379800281,Pershing Drive,Los Angeles
060372766014_060372766032,West Manchester Avenue,Los Angeles
060372766032_060372781023,Pershing Drive,Los Angeles
060372766031_060372766042,Saint Bernard Street,Los Angeles
060372766031_060379800281,Falmouth Avenue,Los Angeles
060372766014_060372766031,Gulana Avenue,Los Angeles
060372766013_060372766031,Gulana Avenue,Los Angeles
060372675012_060372675013,Nebraska Avenue,Los Angeles
060372674021_060372675013,Santa Monica Boulevard,Los Angeles
060372674041_060372675013,South Westgate Avenue,Los Angeles
060372675013_060372675022,Idaho Avenue,Los Angeles
060372675013_060372676003,Nebraska Avenue,Los Angeles
060372675013_060372676001,Nebraska Avenue,Los Angeles
060372675013_060372675021,Brockton Avenue,Los Angeles
060372675011_060372675012,Nebraska Avenue,Los Angeles
060372674041_060372675012,Ohio Avenue,Los Angeles
060372675012_060372676003,Nebraska Avenue,Los Angeles
060372675012_060372676001,Nebraska Avenue,Los Angeles
060372674041_060372675011,Ohio Avenue,Los Angeles
060372673002_060372675011,Federal Avenue,Los Angeles
060372675011_060372676001,Nebraska Avenue,Los Angeles
060372674031_060372675011,Federal Avenue,Los Angeles
060372675011_060372677001,Federal Avenue,Los Angeles
060371171012_060371174051,Sepulveda Boulevard,Los Angeles
060371172022_060371174051,Nordhoff Street,Los Angeles
060371174041_060371174051,San Diego Freeway,Los Angeles
060371174051_060371175201,Rayen Street,Los Angeles
060371174051_060371175101,Rayen Street,Los Angeles
060371172011_060371174051,Sepulveda Boulevard,Los Angeles
060371174051_060371174071,San Diego Freeway,Los Angeles
060375013001_060375013004,Beverly Boulevard,Whittier
060375013001_060375013003,Palm Avenue,Whittier
060375013001_060375013002,Magnolia Avenue,Whittier
060375013001_060375015011,Pickering Avenue,Whittier
060375012001_060375013001,Workman Mill Road,Whittier
060373106012_060373106013,Church Street,Burbank
060373106011_060373106013,Grismer Avenue,Burbank
060373106011_060373106012,Scott Road,Burbank
060373106012_060373107012,West Burbank Boulevard,Burbank
060373104001_060373106012,North Glenoaks Boulevard,Burbank
060373104002_060373106012,Winona Avenue,Burbank
060373104003_060373106012,North San Fernando Boulevard,Burbank
060373106012_060373108001,West Burbank Boulevard,Burbank
060373106012_060373106021,North San Fernando Boulevard,Burbank
060373106012_060373106022,North San Fernando Boulevard,Burbank
060373106012_060373109001,North Lake Street,Burbank
060373105011_060373106012,North San Fernando Boulevard,Burbank
060373105012_060373106012,North San Fernando Boulevard,Burbank
060375013004_060375013005,Broadway,Whittier
060375013005_060375013006,El Rancho Drive,Whittier
060375010025_060375013005,Broadway,Whittier
060375010021_060375013005,Whittier Boulevard,Whittier
060375013005_060375014003,Broadway,Whittier
060375010013_060375013005,Redman Avenue,Whittier
060375012002_060375013005,Redman Avenue,Whittier
060375010022_060375013005,Whittier Boulevard,Whittier
060375013004_060375013006,Norwalk Boulevard,Whittier
060375013003_060375013004,Broadway,Whittier
060375013004_060375014003,Broadway,Whittier
060375012002_060375013004,The Whittier Greenway Trail,Whittier
060375012001_060375013004,Beverly Boulevard,Whittier
060375012002_060375013006,Norwalk Boulevard,Whittier
060375326062_060375331051,Randolph Street,Huntington Park
060375326063_060375331051,Miles Avenue,Huntington Park
060375326061_060375331051,Miles Avenue,Huntington Park
060375331051_060375332011,Cedar Street,Huntington Park
060375331051_060375331062,Miles Avenue,Huntington Park
060375325003_060375331051,Randolph Street,Huntington Park
060375331051_060375332021,Cedar Street,Huntington Park
060374615022_060374615023,East Washington Boulevard,Pasadena
060374615021_060374615022,Marengo Avenue,Pasadena
060374615022_060374620023,Fair Oaks Avenue,Pasadena
060374611004_060374615022,Marengo Avenue,Pasadena
060374615022_060374620011,East Washington Boulevard,Pasadena
060374610001_060374615022,Fair Oaks Avenue,Pasadena
060374609001_060374615022,Fair Oaks Avenue,Pasadena
060374609002_060374615022,Fair Oaks Avenue,Pasadena
060374615022_060374616001,Fair Oaks Avenue,Pasadena
060374615021_060374615023,East Penn Street,Pasadena
060374615023_060374615024,East Washington Boulevard,Pasadena
060374615023_060374620023,East Washington Boulevard,Pasadena
060374615023_060374620011,East Washington Boulevard,Pasadena
060374615021_060374615024,East Penn Street,Pasadena
060374615013_060374615021,North Los Robles Avenue,Pasadena
060374615011_060374615021,Atchison Street,Pasadena
060374611002_060374615021,East Woodbury Road,Altadena
060374611004_060374615021,East Woodbury Road,Altadena
060371349051_060371351142,Victory Boulevard,Los Angeles
060371349031_060371349051,De Soto Avenue,Los Angeles
060371349051_060371371041,Canoga Avenue,Los Angeles
060371349051_060371371042,Oxnard Street,Los Angeles
060371349051_060371351131,Canoga Avenue,Los Angeles
060371349042_060371349051,Victory Boulevard,Los Angeles
060371349041_060371349051,Mason Avenue,Los Angeles
060371349051_060371393011,Oxnard Street,Los Angeles
060371349051_060371371032,Canoga Avenue,Los Angeles
060374615013_060374615024,East Ladera Street,Pasadena
060374615012_060374615024,North Los Robles Avenue,Pasadena
060374615024_060374620011,East Washington Boulevard,Pasadena
060374615024_060374621003,North Los Robles Avenue,Pasadena
060375512024_060375513002,Brookshire Avenue,Downey
060375512024_060375513003,Downey Avenue,Downey
060375512024_060375513001,Brookshire Avenue,Downey
060375512023_060375512024,Downey Avenue,Downey
060375512022_060375512024,Birchdale Avenue,Downey
060375512021_060375512024,Patton Road,Downey
060375512012_060375512024,Alameda Street,Downey
060375512011_060375512024,Downey Avenue,Downey
060372431002_060372431003,East 115th Street,Los Angeles
060372431002_060375406002,Imperial Highway,Los Angeles
060372431002_060375405012,Mona Boulevard,Lynwood
060372431002_060375404002,Mona Boulevard,Lynwood
060372431003_060375406002,Wilmington Avenue,Los Angeles
060372427003_060372431003,Wilmington Avenue,Los Angeles
060372427002_060372431003,East 112th Street,Los Angeles
060372431003_060375407002,Wilmington Avenue,Los Angeles
060372427004_060372431003,Wilmington Avenue,Los Angeles
060372075021_060372077101,West 5th Street,Los Angeles
060372073012_060372077101,South Hill Street,Los Angeles
060372077101_060372242001,Pico Boulevard,Los Angeles
060372077101_060372092001,West 5th Street,Los Angeles
060372077101_060372100102,Harbor Frwy and Transit Way,Los Angeles
060372077101_060372093002,7th Street,Los Angeles
060372077101_060372240102,Pico Boulevard,Los Angeles
060372077101_060372079002,South Figueroa Street,Los Angeles
060372077101_060372079001,West 9th Street,Los Angeles
060375351021_060375352001,Prince Avenue,Los Angeles
060375351022_060375352001,Graham Avenue,Los Angeles
060375351023_060375352001,Zamora Avenue,Los Angeles
060372400203_060375352001,East 89th Street,Los Angeles
060375352001_060375354001,East 92nd Street,Los Angeles
060372422004_060375352001,East 92nd Street,Los Angeles
060372423001_060375352001,Compton Avenue,Florence-Graham
060372400103_060375352001,East 88th Place,Los Angeles
060372755001_060372755002,Inglewood Boulevard,Los Angeles
060372755001_060372755004,Braddock Drive,Los Angeles
060372751022_060372755001,Culver Boulevard,Los Angeles
060372751021_060372755001,Braddock Drive,Culver City
060372752002_060372755001,Inglewood Boulevard,Los Angeles
060372752003_060372755001,Culver Boulevard,Los Angeles
060372084011_060372084012,Miramar Street,Los Angeles
060372084011_060372084022,Beverly Boulevard,Los Angeles
060372083011_060372084011,South Union Avenue,Los Angeles
060372084011_060372091041,South Union Avenue,Los Angeles
060372084011_060372089041,West 3rd Street,Los Angeles
060372084011_060372089042,West 3rd Street,Los Angeles
060372083021_060372084011,Beverly Boulevard,Los Angeles
060372084011_060372089031,West 3rd Street,Los Angeles
060372755002_060372755003,Marshall Street,Los Angeles
060372755003_060372755004,Inglewood Boulevard,Culver City
060372755003_060372756033,Centinela Avenue,Los Angeles
060372755003_060372756032,Inglewood Boulevard,Culver City
060372753114_060372755003,Marshall Street,Los Angeles
060372755002_060372755004,Marshall Street,Los Angeles
060372752002_060372755002,Inglewood Boulevard,Los Angeles
060372752003_060372755002,Inglewood Boulevard,Los Angeles
060372753113_060372755002,Culver Boulevard,Los Angeles
060372753114_060372755002,Centinela Avenue,Los Angeles
060372755004_060372756033,Inglewood Boulevard,Culver City
060372755004_060372756032,Inglewood Boulevard,Culver City
060372751021_060372755004,Ballona Creek Bike Path,Los Angeles
060372755004_060377026004,Ballona Creek Bike Path,Los Angeles
060375349001_060375349002,Nadeau Street,Los Angeles
060375349002_060375353002,Nadeau Street,Los Angeles
060375349002_060375353003,East 81st Street,Los Angeles
060375349002_060375349004,East 76th Place,Los Angeles
060375349002_060375349003,Lou Dillon Avenue,Los Angeles
060375349002_060375351011,Bell Avenue,Los Angeles
060371012101_060371012102,Foothill Boulevard,Los Angeles
060371012102_060371014001,Foothill Boulevard,Los Angeles
060371012102_060371034001,Foothill Boulevard,Los Angeles
060371011102_060371012102,Apperson Street,Los Angeles
060371011101_060371012102,Samoa Avenue,Los Angeles
060371012101_060371014001,Foothill Boulevard,Los Angeles
060371012101_060371014002,Foothill Boulevard,Los Angeles
060371012101_060371014003,Foothill Boulevard,Los Angeles
060371012101_060371012201,Valmont Street,Los Angeles
060371012101_060371012202,Foothill Boulevard,Los Angeles
060371011101_060371012101,Apperson Street,Los Angeles
060375331032_060375349001,Florence Avenue,Walnut Park
060375348031_060375349001,Broadway,Walnut Park
060375330022_060375349001,Alameda Street,Huntington Park
060375349001_060375353002,Nadeau Street,Los Angeles
060375348041_060375349001,Broadway,Walnut Park
060375349001_060375349003,East 76th Street,Los Angeles
060375331031_060375349001,Florence Avenue,Walnut Park
060372084012_060372084021,South Westlake Avenue,Los Angeles
060372084012_060372084022,Beverly Boulevard,Los Angeles
